Title,Product Link,Short Description,Off {Sale},Long Description,Category,Reviews,Size1,Price1 & Fixed Price,Size2,Price2,Size3,Price3,Size4,Price4
WHITE RUNTZ,https://herbapproach.com/product/white-runtz/,"White Runtz is a balanced hybrid that is a favorite of Runtz fans, fans of citrus, and anyone who craves stress relief. Like most Runtz strains, it has Gelato and Zkittlez in its genetic lineage, the results, in this case, being creamy, sleepy, fruity, and a bag of giggles.",25,"White Runtz Strain Information
White Runtz is a balanced hybrid that is a favorite of Runtz fans, fans of citrus, and anyone who craves stress relief. Like most Runtz strains, it has Gelato and Zkittlez in its genetic lineage, the results, in this case, being creamy, sleepy, fruity, and a bag of giggles. White Runtz is perfect for any hybrid lover, this bud packs a flavor much like its name suggests – sweet and sour fruity candy with a light touch of citrus.
White Runtz’s effect is a calming, tingly sense of relaxation. It starts traveling up your back, up to your neck, and then proceeds to relax your whole body. This makes the strain perfect for watching movies, going to a spa and getting a massage, or doing nothing at all. It’s a major kick-back that gives you the chance to enjoy your evening by feeling creative and relaxed without having to contend with your normal dose of stress and anxiety.
When it comes to the flavor, White Runtz offers a delightful experience. It delivers a smooth and creamy smoke, with fruity and candy-like flavors that are often a mix of tropical fruits, sweet berries, and a subtle hint of sugary sweetness. The taste is one of the highlights of this strain, making it a favorite among cannabis enthusiasts.
In terms of effects, White Runtz is known for its potent and well-balanced high. It has the ability to induce a relaxing and euphoric state. Furthermore, a gentle cerebral stimulation. Many users report feeling uplifted, happy, and creatively inspired, making it suitable for both social gatherings and solo relaxation.
Aroma and Flavour
White Runtz exudes a captivating and inviting aroma that is sure to tantalize the senses. As soon as you open a jar or bag containing this bud. There is a delightful burst of fragrance. The aroma has fruity and sweet notes, creating a tropical and candy-like bouquet. The dominant scent is often described as a combination of tropical fruits, with hints of zesty citrus, succulent berries, and a subtle undertone of floral sweetness. The aroma is rich and inviting, giving off an impression of freshness and vibrancy.
When it comes to the flavor, White Runtz delivers an exceptional and memorable experience. The taste profile mirrors its aroma, providing a harmonious blend of fruity and candy-like flavors with a creamy undertone.
As you inhale, you’ll notice a smooth and creamy smoke that coats your palate. The initial wave of flavor reveals a burst of tropical fruits, reminiscent of juicy mangoes, ripe pineapple, and tangy citrus. These fruity notes are accompanied by the sweetness of berries, adding a pleasant and tantalizing dimension to the taste.
Appearance
White Runtz is a visually stunning cannabis strain that immediately captures attention with its distinct appearance. Here’s a description of the strain’s notable features:
White Runtz buds are known for their compact and dense structure, typically ranging in size from small to medium. However, these resinous nuggets exhibit a captivating color palette that combines various shades of green, accented by bursts of vibrant purple.
The buds of White Runtz are primarily a luscious, light green color, reminiscent of fresh spring foliage. As well as, green hues are often interspersed with splashes of deep purple, creating a visually striking contrast. The purple tones can appear in patches, streaks, or even cover entire sections of the buds, adding a captivating and unique touch to their overall appearance.
What truly sets White Runtz apart is the abundant presence of glistening trichomes. These resinous glands cover the surface of the buds, giving them a frosty and shimmering texture. The trichomes themselves appear as tiny, translucent crystals, which are responsible for producing the strain’s potent effects.",FLOWERS/HYBRID/WHITE RUNTZ,REVIEWS (2),28g,$199.99,7g,$54.99,14g,$104.99,28g,$199.99
PEANUT BUTTER ROCKSTAR,https://herbapproach.com/product/peanut-butter-rockstar/,"Peanut Butter Rockstar is a hybrid of Peanut Butter Breath, Rockstar, and Mendo Breath. It has a heavy-hitting THC level range as high as 29-33%.",47,"Peanut Butter Rockstar Strain Information
Peanut Butter Rockstar is a hybrid of Peanut Butter Breath, Rockstar, and Mendo Breath. It has a heavy-hitting THC level range as high as 29-33%.
This strain is often used to treat medical conditions like depression and anxiety. The Peanut Butter Rockstar strain is mostly used for its strong sedation qualities, perfect for winding down individuals with symptoms of chronic stress. It has a general uplifting effect on the mood of the user and a deep body feeling of relaxation. It starts off as a very strong euphoria that kicks in as soon as you exhale. It gives the feeling of a cerebral lift and spreads off to the rest of the body in the form of tingly waves of energy.
The flavour is nutty and earthy, as is suggested by the name. It has a rich herbal undertone. It has a subtle aroma that kicks in to boost the flavours of rich nutty earthiness with each inhales. It has bright red-orange hair and tones of purple and dark and olive green. Light colour pistils blend themselves and give a super creamy and smooth smoke experience.",FLOWERS/HYBRID/PEANUT BUTTER ROCKSTAR,REVIEWS (4),3.5g,$23.99,7g,$44.99,14g,$84.99,28g,$199.99
9 POUND HAMMER,https://herbapproach.com/product/9-pound-hammer-strain/,"9 Pound Hammer hits the nail on the head with its tranquillizing, feel-good indica experience. The effects are heavy and long-lasting, which will stimulate your mind to a euphoria state of happiness.",38,"9 Pound Hammer Strain Information
Often, you may come across strain names that say “sweet” yet taste sour. That just takes you into a mind-boggling state of mind. Well, in the case of 9 Pound Hammer, you get what you hear! Right off the bat, it’ll knock you out and floor you, as if an actual hammer has hit you on the head. Possessing 80% Indica composition, this hybrid is the child of a love triangle between Gooberry, Jack the Ripper, and Hell’s OG. Its genetics make this strain an extremely heavy hitter. Ironically, it has a sweet candy-like flavor. 
Mind you; this isn’t for you if you’re looking for a boost of energy on an early Monday morning. Instead, if you need hours of uninterrupted sleep immersed in a deep relaxation mode, then this strain is going to hit the nail! 
Aroma
9 Pound Hammer has a complex aroma profile. It smells like a sweet grape but with some earthy notes. The earthy, incense-like aroma is evidently due to its Indica-dominant nature. Most of the flowers also carry fruity and citrusy notes. 
Flavor
The fruity aromatic notes of 9 Pound Hammer are evident in its flavor too. It produces a creamy and smooth smoke, so it’s gentle on your throat but not really on the head. It has a blend of sweet and citrusy flavor, somewhat like that of sweet berry lime. The flavor seems to intensify as you exhale your Indica doobie.
Appearance
9 Pound Hammer plants are primarily light green with subtle purple undertones (usually on their leaves). The buds on this strain are chunky and dense and coated in frosty resin and trichomes. Like most cannabis plants, this strain also has vibrant orange hairs throughout.
9 Pound Hammer Strain Effects
9 Pound Hammer is a true representation of what a real Indica-dominant hybrid is supposed to be like. It hits you hard immediately, with a high that’s often described as happy, uplifted, and euphoric. However, the effects of this cannabis are not as “cerebral” as compared to its full-body effects. The high produced by this strain is extremely long-lasting and heavy. As you continue smoking and the buzz progress, you’ll eventually fall weak in your knees and drift to the land of peaceful sleep. So, you better be near a comfortable couch or bed if you’re blazing up this bad boy.
9 Pound Hammer relaxes your mind and body, and before long, you’ll find yourself in full sedation mode. Due to its heavy sedation effects, many users consider this strain a fantastic medical cannabis option. It may help you deal with depression, insomnia, cramps, pain, migraines, and stress.
THC Content
21-24% 
Buy 9 Pound Hammer Strain Online
9 Pound Hammer is a cannabis known to provide an incredibly heavy high, but it’ll also hammer any pain or stress out of your system. Buy this heavy hitter Indica strain online today and get ready for the experience of a lifetime!",FLOWERS/INDICA/9 POUND HAMMER,REVIEWS (15),2g,$19.99,28g,$199.99,14g,$84.99,28g,$199.99
ICE CREAM,https://herbapproach.com/product/ice-cream/,Ice Cream Strain is an Indica-dominant hybrid flower that has become popular after its two highlife cup competitions in 2009 and 2009.,47,"Ice Cream Strain Information
Ice Cream Strain is an Indica-dominant hybrid flower that has become popular after its two highlife cup competitions in 2009 and 2009. This strain is slightly Indica dominant, although you will feel an onset of effects from its sativa parent. It has a smooth smoke that feels quite good inside. It has a lovely sweet aroma that is similar to that of sweet candy ice cream. Its taste is excellent and makes you feel as if you are eating smooth and creamy ice cream. It produces a buzz that affects your head and body equally and is quite strong. Ice cream is very potent cannabis so its THC level is expected to be moderate to high. The numbing sensation produced by the strain lasts for quite a while on your system. It is a good treatment for stress, anxiety, depression, and loss of appetite.
  Ice Cream Strain Medical Benefits
Anxiety, Insomnia Pain, Depression, Stress",FLOWERS/HYBRID/ICE CREAM,REVIEWS (10),2g,$16.99,7g,$49.99,14g,$94.99,28g,$199.99
SUNDAE DRIVER,https://herbapproach.com/product/sundae-driver/,"Sundae Driver is a beautiful strain bred from Fruity Pebbles OG and Grape Pie. If we were to describe the strain’s personality, it sure is a “happy-go-lucky” type. You’ll feel good, chatty, and in a great mood to take on whatever comes your way.",47,"Sundae Driver Strain Information
Sundae Driver is a beautiful strain and rightfully so from the unique breeding of parents, Fruity Pebbles OG and Grape Pie, to mix into a delicious hybrid that we now know and love as Sundae Driver, a.k.a. Sunday Driver. With a sweet and smooth taste, it’s no wonder this strain is one of the most popular ones on the market today.
Ever hit the road on a breezy Sunday afternoon? Well, that’s what smoking this cannabis strain feels like. With you on the passenger’s seat, enjoy the scenery as the effects flow over you. If we were to describe the strain’s personality, it sure is a “happy-go-lucky” type. You’ll feel good, chatty, and in a great mood to take on whatever comes your way. The THC levels of Sundae Driver is potent but not too overwhelming. It usually ranges between 24 and 29%. Hence, why this weed is perfect for a Sunday afternoon.
Aroma
Sundae Driver is all about mellow sweetness. When you open a jar of these buds, you’ll be greeted by the smell of chocolates and fruits. Of course, it does have a mild earthiness to its scent, which balances out the sweetness perfectly.
Flavor
As you might have guessed, the flavor is just as sweet and delicate as the aroma. Sundae Driver has a sweet and creamy taste, reminiscent of sugary and chocolaty treats. No wonder why this strain is often considered a dessert dream!
Appearance
With striking shades of purple and olive green, Sundae Driver is a beauty to behold. The weed has dense buds covered in reddish pistils and glossy trichomes, which make it look even more enticing.
Sundae Driver Strain Effects
Sundae Driver has a perfectly balanced composition of Indica and sativa genes. So, it’s no surprise that the effects created by this strain are a perfect mix of the two. As you’d expect from an evenly crossed hybrid, Sundae Driver will first freshen your mind and lead you into a world of creativity, energy, and euphoria. It’s an excellent strain to smoke when you want to have some interesting conversations.
As the effects start to wear off, the high settles into your body, giving you a relaxing and serene feeling. Depending on how much you consume, the lingering high can even make you tired, leading you into a deep slumber.
Besides, medical marijuana patients struggling with stress, pain, depression, and fatigue can find relief with this strain. 
THC Content
24-29%
Buy Sundae Driver Strain Online
What do you think? Is this mellow, happy-go-lucky strain worth a try? Well, thousands of 420-lovers seem to think so! It’s evident from the fact that Sundae Driver is one of the first strains that sell out at our online dispensary. So when you get the chance to get your hands on this, you should definitely try it today!",FLOWERS/HYBRID/SUNDAE DRIVER,REVIEWS (4),2g,$16.99,7g,$49.99,14g,$94.99,28g,$199.99
UNICORN POOP,https://herbapproach.com/product/unicorn-poop/,"Just like its name, Unicorn Poop is a rare find! Get ready for a powerful head high that’s also uplifting and euphoric. It’ll leave you feeling happy, creative, and motivated!",47,"Unicorn Poop Strain Information
The weed space sure has its fair share of wacky strains with creative names, especially with a name like Unicorn Poop. Not only does this strain have an adorable name but it also boasts an impressive range of effects and medical benefits.
Bred by ThugPug Genetics, Unicorn Poop is a hybrid of GMO Cookies and Sophisticated Lady. One of the main reasons behind the strain’s growing popularity is that it’s an evenly balanced strain, meaning it has a 50-50 Indica-sativa composition. So, whether you’re looking for a strain to help you relax after a long day or one that’ll get you fired up and ready to take on the world, this is a great choice. Fair warning: because this strain is a powerful one, be careful on how much you consume!
Aroma
Unicorn Poop leans more towards its Indica side when it comes to aroma. When you open a bag of this potent strain, you’ll be hit with intense earthy aromas with hints of sweet berries. On crushing, the buds give off a fruity berry scent with a hint of citrus and spicy diesel.
Flavor
Don’t be fooled by its name because this doesn’t smell or taste like poop. In fact, it’s quite the opposite. Just like its aroma, Unicorn Poop has a sweet and diesel-like flavor with hints of berries and citrus. That’s enough for any cannabis lover to easily fall in love with this strain!
Appearance
If both aroma and flavor weren’t enough to win you over, then its appearance definitely will! In fact, the strain’s name is like an ode to its vibrant and colorful appearance. Unicorn Poop has grapes-shaped, green nugs covered in amber hairs. One striking feature of this strain is its high trichome coverage, which not only makes it look like it’s covered in sugar but also amplifies its effects.
Unicorn Poop Strain Effects
Ever been so happy that you felt like you were on top of the world? Well, that’s the feeling you get when you smoke this. Unicorn Poop produces a powerful head high effect that’s uplifting and euphoric. It also leaves you feeling happy, creative, and motivated. So, if you’re looking for a strain to take on projects or social activities, this is going to be ideal. However, note one thing, smoking this strain comes with a lot of giggles, so be prepared to laugh your head off.
Don’t worry; Unicorn Poop has something special for medical cannabis users as well. For starters, the strain is excellent for managing stress, anxiety, and depression – thanks to its mood-enhancing high! As you continue smoking this strain, the head-high slowly transitions into a body stone, leaving you relaxed and at ease. This makes it perfect for treating pain, inflammation, and cramps.
THC Content
20-25%
Buy Unicorn Poop Strain Online
Just like its name, Unicorn Poop is a rare find! However, if you’re lucky enough to find it on our shop, we recommend you to buy weed online today! After all, it’s not every day you come across a strain that looks, smells, and feels this good!",FLOWERS/HYBRID/UNICORN POOP,REVIEWS (15),2g,$19.99,7g,$54.99,14g,$104.99,28g,$199.99
RAINBOW KUSH MINTS,https://herbapproach.com/product/rainbow-kush-mints/,"Sweet, fruity, and refreshing – what more can you expect from a strain? Rainbow Kush Mints is an indica-dominant hybrid that might as well be a cocktail in weed form. Its smooth, relaxing high coupled with its delicious flavours make it a perfect choice for anybody looking to sit back and relax!",25,"Rainbow Kush Mints Strain Information
Most strains today struggle to deliver a tasty, potent, and refreshing smoking experience. Fortunately, the Rainbow Kush Mints strain boasts an incredibly delicious flavour and amazing effects. With Rainbow Kush Mint’s indica-dominant genetics and 22-25% THC potency, this Craft Collection will delight and excite!
Appearance, Flavour, and Effects
Rainbow Kush Mints isn’t a strain you’re likely to see often. An indica-dominant hybrid created by crossing Platinum Kush Mints with Rainbow Zkittlez, this strain is rare and special. This special breed is only grown in small batches by experienced cultivators due to its rarity and the difficulty involved in cultivation.
What is this strain like? For starters, this strain has an incredible bag appeal. Crack open a bag and you’ll notice this right away. Thanks to its indica-dominant heritage, the nugs themselves are chunky and dense. Additionally, a thick layer of frosty trichomes covers the surface to give this strain an extra minty look. Bright green in colour with some thin, orange hairs, this strain is as refreshing on the eyes as it is on the palette! While it’s predominantly green, some rare phenotypes will have a few purple weed hues!
Secondly, we’ll move on to the aroma. As its name suggests, this strain has an incredibly colourful and refreshing aroma. To start, its Rainbow Zkittlez parent strain delivers a sweet and fruity flavour that’s impossible to resist. Meanwhile, this sweetness is undercut with some minty freshness from Platinum Kush Mints and you have an out-of-this-world terpene profile!
Moving on to the flavour, this strain tastes almost exactly like it smells. On the exhale, a super sweet and fruity flavour tickles and delights the tongue. Shortly after, a minty, menthol finish with hints of citrus kicks in to refresh the palate. Make no mistake about it – this strain works wonders as a post-meal refresher!
However, this strain doesn’t just have an amazing appearance and flavour – it has great effects, too! While the refreshing flavours are great, this strain truly shines when it comes to its high. Once you taste this strain’s smooth and refreshing smoke, a subtle cerebral high will creep into your head. You’ll feel slightly numb, euphoric, and totally relaxed. Shortly after, a sedative body high will kick in, further serving to relax you.
While its THC content isn’t as high as other strains, Rainbow Kush Mints more than compensates with its effects. The best thing about this strain is that it’s not too potent or sedative. Tokers can enjoy this strain without much difficulty, making it a great strain to enjoy both day and night! Additionally, this strain’s relaxing, euphoric effects are great at treating ADD, stress, and mood swings! Refresh your mind today with this colourful, minty strain!
Rainbow Kush Mints Medical Benefits
Cramps, Muscle Spasms, Stress, Depression, ADD/ADHD",VENDORS/EXOTIC GENETIX/RAINBOW KUSH MINTS,REVIEWS (31),2g,$19.99,7g,$57.99,14g,$109.99,28g,$204.99
GODZILLA GLUE,https://herbapproach.com/product/godzilla-glue/,What do you get when you combine Kona Gold with Gorilla Glue #4? Godzilla Glue! This hybrid strain delivers a perfectly balanced high that’s both sweet and mellow. It’s the perfect choice for tokers looking for an easy high that won’t leave them incapacitated!,25,"Godzilla Glue Strain Information
If you like Gorilla Glue, you’re going to love Godzilla Glue! Bred by combining Gorilla Glue #4 with Kona God Plant. Originally bred by Dr. Underground. Godzilla Glue is a balanced strain with sativa and indica genetics. As its name suggests, everything about this strain is larger-than-life! The buds are huge, chunky, and sticky. Since Godzilla’s birthplace is in the Pacific, it only makes sense that this strain taste tropical, too! Godzilla Glue has a fresh, floral taste that’s innovative of Hawaiian flowers and tropical fruit! With a THC content of 24-29%, tokers looking for a great tasting mellow experience need to look no further than Godzilla Glue!
Appearance, Flavour, and Effects
Godzilla Glue is large and definitely in charge. As its name suggests, Godzilla Glue is a strain with monstrous proportions. To begin, we’ll talk about its bag appeal.
Right out of the bag, you’ll immediately notice the size and girth of Godzilla Glue’s nugs. Somewhere between an indica and a sativa, this strain’s buds are fat, chunky, and radioactively green making for great bag appeal. Additionally, you’ll notice some firey red pistils peaking through from beneath the surface. But, these might be hard to see under Godzilla Glue’s thick blanket of silver trichomes!
With all that said, Godzilla Glue is a strain that you have to see to believe. Honestly, there’s no other strain out there that can compete with Godzilla Glue when it comes to appearance!
Now that we’ve covered its appearance, it’s time to talk about this monster strain’s flavour. All we can say is ‘wow.’ This is a case where appearances can be deceiving. You might think that this strain has a dank, skunky aroma and flavour but that couldn’t be farther from the truth.
Instead, this strain has a sweet and floral aroma that hits you right out of the bag. Many have compared it to Hawaiian flowers, tropical fruit, and even sweet citrus! On the exhale, you’ll taste all these flavours plus hints of dank earth and forest pine.
You shouldn’t judge a book by its cover, so you shouldn’t make the mistake of judging a strain by its bud!
Finally, let’s dive into this strain’s effects.
Despite the name, Godzilla Glue’s high isn’t as impactful as you might think. While punchy, this strain’s THC content meets you in the middle at 24-29% to deliver a mellow, more subdued experience. The high begins behind the eyes, stretching across the temple and to the rest of your head. Feelings of euphoria, ease, and comfort melt away all feelings of stress and negativity in your mind. After that, the effects disperse throughout the body. You’ll feel the tension and stress from your bones work their way up to your skin and dissipate into the air. You’ll feel relaxed, but not sedated. Refreshed, but not bouncing off the walls. To conclude, this strain is the perfect compromise for those looking to get high but not baked!
  Due to the above-listed effects, this strain is a great choice for those looking for relief from stress, depression, and pain. This strain is also great at treating headaches, migraines, and insomnia!
  Godzilla Glue Medical Benefits
Stress, Headaches, Insomnia, Chronic Pain,",FLOWERS/HYBRID/GODZILLA GLUE,REVIEWS (39),2g,$19.99,7g,$54.99,28g,$199.99,28g,$204.99
WHITE TRUFFLE,https://herbapproach.com/product/white-truffle/,"Ready to turn your productive Mondays into carefree Sundays? Want the best, uninterrupted sleep of your life? Looking forward to the best weekend ever? Then this is it!",25,"White Truffle Strain Information
Like its rare, expensive, and pungent namesake, White Truffle is a real attention-grabber. This hybrid’s genetics are a closely guarded secret, but we know she descends from BeLeaf’s Gorilla Butter, a mix between GG4 (Original Glue) and Peanut Butter Breath! The result is a powerful, trichome-coated strain that fills the room with her pungent earthy aroma.
Even better, this strain’s high is just as intoxicating as her smell, providing heavy-handed relaxation and couchlock that’s perfect for unwinding at the end of a long day. If you’re looking for a trichome-laden strain that provides both an intense aroma and a potent high, White Truffle is the one for you!
Despite being an Indica-leaning hybrid, you’ll also experience some cerebral effects from White Truffle, thanks to her grandparent GG4’s lineage that includes strong Sativa’s like Sour Dub, Chocolate Diesel, and Chem Sister.
Aroma
One of the most dominant terpenes present in the White Truffle strain is Humulene. Hence, when you break open a nug, you’ll be hit with an earthy and woody smell that’s also a little spicy, reminiscent of the great forests. There’s also a hint of citrus in there from the Limonene.
Flavor
White Truffle inherits a lot from her parent strains when it comes to flavor. You’ll taste Gorilla Butter’s creamy and nutty flavors and Chocolate Diesel’s chocolatey notes. But these flavor notes are very mild and mostly overshadowed by the strong umami earthiness (closely associated with mushrooms).
Appearance
Perhaps the “white” in White Truffle comes from her frosty, trichome-coated buds that look like they’ve been dusted with snow. Trust us; this is some potent stuff! The nugs are airy and small, with a deep forest green color intertwined with orange pistils.
White Truffle Strain Effects
White Truffle’s THC levels fall in the range of 25-30%, so if you’re a novice cannabis consumer, you might want to give this strain a miss. However, if you’ve been consuming weed for a while now and are looking for something that’ll knock your socks off, White Truffle is the perfect strain.
The effects hit you almost immediately after taking a few puffs. You’ll feel an intense cerebral rush, leaving you uplifted and euphoric. This is followed by a deep sense of relaxation that spreads from your head all the way down to your toes. You might even find yourself glued to the couch!
As the high wears on, you’ll start to experience it’s sedative side, as she’ll lull you into a deep and restful sleep. Due to this very reason, medical marijuana users swear by the White Truffle strain for treating conditions like insomnia and chronic pain.
THC Content
25-30%
Buy White Truffle Strain Online
Ready to turn your productive Mondays into carefree Sundays? Want the best, uninterrupted sleep of your life? Looking forward to the best weekend ever? Then this is it! You have arrived at the perfect destination – White Truffle! As you might have guessed from the name, this strain is as rare and expensive as the truffle for which it is named. But don’t let that discourage you; a little goes a long way with this strain. So, get a few grams of this top-shelf bud and see for yourself what all the fuss is about!",FLOWERS/HYBRID/WHITE TRUFFLE,REVIEWS (4),2g,$14.99,3.5g,$22.99,7g,$54.99,28g,$199.99
TRAP GAS OG,https://herbapproach.com/product/trap-gas-og/,fresh pine and hints of diesel deliver an herbal organic taste that’ll have you hooked on the first toke. Experience this premium Organic Cannabis strain today!,26,"Trap Gas OG Strain Information
Premium genetics and breeding come together to form Trap Gas OG. The brainchild of LA-based seed bank South Bay Genetics, Trap Gas OG is an OG strain packing some serious heat. With 27-29% THC on average, an amazing flavour profile, and intense, sedative effects, this strain is all gas and no brakes.
Appearance, Flavour, and Effects
Trap Gas OG is a cross between the rare strains of BTY OG (Better Than Yours OG) and Gas Station Bob. While its lineage sounds sketchy, the fact that it’s a South Bay Genetics phenotype guarantees its quality. A mostly indica hybrid, this strain’s nugs are dense, fluffy, and dank. Spade-shaped and dark-green in colour, Trap Gas OG sports a classic indica appearance. Rusty orange pistils and a thick layer of kief on the surface complete its gassy look. While its appearance speaks volumes already, we need to dive into its flavours and aromas to appreciate what this strain brings to the table. Firstly, the aroma. On the nose, the aromatic profile of zesty, sour lemon, and fresh pine dominate. In addition to these fragrant aromas, hints of earth and pungent skunk join the ensemble to complete its terpene profile. Secondly, its flavour. On the tongue, Trap Gas OG tastes almost exactly like it smells. Tokers will taste a delicious bouquet of citrus and pine with just a hint of skunk weed on the exhale. Extremely close in flavour to original OG Kush, even the pickiest of tokers will be able to enjoy this strain! Finally, the high. Trap Gas OG’s high is something else entirely. Fans of the original OG Kush will find the experience to be incredibly similar, with a slight indica twist. Effects begin with pressure behind the eyes and slight tingling in the hands and limbs. Shortly after, this pressure releases into a wave of euphoria, sedation, and relaxation that washes over the entire body. Stress, tension, and any negative thoughts are whisked away as total relaxation and comfort take hold. With its incredibly high THC potency of 27-29%, these effects will hit hard and last long so you better be prepared!
Trap Gas OG Medical Benefits
Depression, Insomnia, Pain, Stress",FLOWERS/INDICA/TRAP GAS OG,REVIEWS (29),2g,$16.99,3.5g,$26.99,7g,$49.99,28g,$179.99
GRAPE CAKE,https://herbapproach.com/product/grape-cake/,,20,"Grape Cake Strain Information
Isn’t the name Grape Cake tempting enough to make your mouth water? If not, we’re sure that the high THC content and grape-like flavor will do the trick. Bred by Seed Junky, the Grape Cake strain draws genetics from three notorious herbs – Cherry Pie, Grape Stomper, and the F4 phenotype of Wedding Cake. Combining these three dank strains results in a beautiful balance of flavors and aromas that any cannabis enthusiast will surely enjoy.
Of course, with such a dessert-worthy name, you might expect the Grape Cake strain to give you a serious case of the munchies. But be warned – this bud is known to hit smokers with a strong case of couch lock instead, making it perfect for a lazy night in. So, if you’re looking for an excuse to stay in and binge-watch your favorite show, look no further than Grape Cake. After all, it’s an indica-dominant strain with THC levels reaching as high as 29%!
Aroma
When it comes to the Grape Cake strain, you’re looking at three flavorful ingredients/genetics – cherries, grapes, and cake. So, it’s no surprise that this bud gives off a fruity scent. On the initial whiff, you’ll notice notes of sweet grapes and cherries, and a citrusy, piney undertone follows next.
Flavor
Flavor-wise, parent Grape Stomper really shines through – giving this bud a grape candy taste that’s both sweet and sour. You might also notice hints of cherry and lemon, with a creamy, cake-like aftertaste.
Appearance
Grape Cake nugs are long and fluffy, with dark purple hues throughout. These nugs are also covered in bright orange hairs and a thick layer of frosty trichomes.
Grape Cake Strain Effects
Looking for a morning doobie? Something of a kicker for your Wake and Bake session? Well, you’ll have to look elsewhere – because this couch-locking indica is perfect for unwinding at the end of a long day.
Grape Cake hits smokers with strong feelings of relaxation and couch lock, making it ideal for managing stress, anxiety, and pain. This bud can also be helpful in treating insomnia. As your eyelids start to feel heavy, you may find yourself glued to the couch – so we recommend having some snacks on hand before you smoke. That’s because when you wake up from the Grape Cake coma, you’re going to be ravenous!
If you’re a first-time smoker or new to indica strains, use Grape Cake with caution. The high THC content in this bud can easily overwhelm novice smokers, leading to an uncomfortable experience. Moreover, large doses of Grape Cake have been known to cause paranoia in some users. So, it’s always best to start slow and increase your dosage as needed.
THC Content
24-29%
Buy Grape Cake Strain Online
Who said your journey to the land of zen has to be intense, skunky, and harsh as usual? The Grape Cake strain has a subtle and inviting grape flavor that’s perfect for those who enjoy sweeter cannabis strains. So, if you’re looking for an indica-dominant hybrid that’ll give you a serious case of couch-lock without giving your senses a hard time, this is the bud for you. Buy Grape Cake online today!",FLOWERS/HYBRID/GRAPE CAKE,REVIEWS (7),3.5g,$29.99,3.5g,$26.99,7g,$49.99,,
HIPPY CRASHER,https://herbapproach.com/product/hippy-crasher/,"Hippies might advocate for peace, but the Hippy Crasher strain is on a warpath. With a powerful THC content of 25-27%, this potent and powerful strain delivers an almost psychedelic high that other strains can’t even come close to offering. Enjoy this premium Craft Cannabis strain today!",34,"Hippy Crasher Strain Information
In need of some serious flower power? Hippy Crasher, with its potent 25-27% THC potency, is the choice for you. A mix between the ever-popular Wedding Crasher and Kush Mints strain. This powerful, indica-dominant hybrid strain will eliminate all of your aches and pains with the very first toke.
This strain comes from the Jungle Boys, a prominent seed bank with over 30 years of experience based in Los Angeles specializing in premium and exotic. While this strain has superstar genetics, its sweet, fruity, and nutty flavour and exceptional effects allow it to stand tall all on its own. Hippy Crasher has everything it needs to put your mind and body at absolute ease. Enjoy this Craft Cannabis strain today before it’s gone!
Appearance, Flavour, and Effects
While Hippy Crasher’s appearance doesn’t scream exactly scream “superstar,” believe us when we tell that this strain packs a punch. Appearance-wise, this strain doesn’t exactly have much to boast about. The buds are small, dense, and tend to break apart into popcorn weed buds easily.
While they are indeed fragile, the buds themselves are chunky and nicely coloured. For example, the leaves are an interesting shade of light green and contrast nicely against its orange pistils. Additionally, a thick layer of frosty white trichomes blankets each individual nug to elevate potency even further.
Although this strain’s appearance is lacklustre, what it lacks in the looks department is more than compensates for in its aroma, flavour, and effects.
Firstly, Hippy Crasher smells almost exactly like a fruit cake. Its aroma is sweet, berry, and yeasty with a slight nuttiness that makes it incredibly hard to resist. As soon as you open the bag, the smell of cherries, nuts, and other stone fruit will immediately envelop your senses. Fortunately, this strain’s wonderful aroma translates almost perfectly into its flavour.
On the tongue, the experience is roughly the same. Once you take that first toke, your palette will be dunked in an ocean of sweet berries, juicy fruit, and nutty cake. If you’re perceptive enough, you might be even to taste hints of refreshing mint on the exhale!
However, we’re not done yet! In addition to its delicious flavour, this strain also delivers an incredible high. Many will compare this strain’s high to that of a psychedelic. If you’re a sceptic, you’ll need to experience this strain firsthand in order to understand this comparison.
On the first inhale, your sensory perception will become spacey and distorted. Certain sights and sounds will look ‘off’ and your sense of time will shift considerably. Focusing on difficult tasks will be a challenge as these cerebral effects intensify over time.
After a short while, Hippy Crasher’s body high kicks in to relax and sedate. If you’re sitting down, you won’t want to get off of your couch! Your limbs, arms and eyelids will continue to get heavier until you eventually fall asleep.
With such effects, this strain can be a powerful tool for medicinal patients. Its borderline psychoactive effects can help relieve headaches, nausea, and stress. The body high this strain has can also treat pain and insomnia. Don’t sleep on this strain – get it while it’s here!
Hippy Crasher Medical Benefits
Nausea, Headaches, Stress, Insomnia, Pain",FLOWERS/CRAFT CANNABIS/HIPPY CRASHER,REVIEWS (30),3.5g,$29.99,3.5g,$26.99,7g,$49.99,,
