,username,screen_name,date,tweet,hashtags
78,Orlando E. Acevedo S,@EOrlandoea,2020-09-12 00:48:14,RT @petroskymora: Total apoyo a @ClaudiaLopez alcaldesa de Bogotá primera autoridad de la ciudad las diferencias no pueden destruir la demo…,[]
79,Rocham02,@Rocham021,2020-09-12 00:48:14,"RT @jarizabaletaf: En Bogotá empezó la toma del poder por parte de la ultra izquierda, la primera autoridad de la ciudad decidió aliarse co…",[]
80,Compa Jorge5862,@veracruj,2020-09-12 00:48:13,"RT @SMoncada_VEN: Colombia caso único de país gobernado por un criminal desde desde su “hacienda-carcel”. Uribe, luego de la masacre de Bog…",[]
81,Alejandro 🌳🕊️🌾 #GoVegan🌿🌎,@Alejandro_vegan,2020-09-12 00:48:13,"RT @petrogustavo: 14 asesinatos en Bogotá Y Soacha por la policía.

NI respuesta al vandalismo ni al ELN, esto solo se llama crimen de Esta…",[]
82,Elena S. Cusse Nader,@ElenaCusseNader,2020-09-12 00:48:12,RT @MariaFdaCabal: La alcaldesa de Bogotá autoriza para HOY 17 concentraciones alrededor de los Cai y en las estaciones de policía. La seño…,[]
83,Claudia Beltran,@McKlaws,2020-09-12 00:48:12,RT @jennymarcela03: Compañeros mi abuela de 84 años con Alzheimer se perdió en las inmediaciones de Plaza de las Américas en #Bogotá hace m…,"[{'text': 'Bogotá', 'indices': [125, 132]}]"
84,Clara Torres,@Clara_angelical,2020-09-12 00:48:12,RT @NoticiasRCN: Ya son 13 los muertos que dejan los disturbios de los últimos dos días en Bogotá y Soacha. Conocimos el testimonio de la m…,[]
85,FELIPE MATEUS,@felipemateusph,2020-09-12 00:48:11,RT @Flakaclau: En Bogota:,[]
86,abdon,@abdon00710100,2020-09-12 00:48:11,RT @PartidoFARC: Vecinas y vecinos del Parkway convirtieron el CAI en una biblioteca popular. #Bogotá https://t.co/SwxzSatwHC,"[{'text': 'Bogotá', 'indices': [94, 101]}]"
87,Grandpa Reloaded KAG-Not a Bot #1087985,@VancliffDesign,2020-09-12 00:48:10,"RT @Jorge_Opina: Para @LuisErnestoGL
la persona asesinada por vándalos que robaron un bus no existe ? 
Bastante selectivos con las víctimas…",[]
88,Francesco Alvarez Ibanez,@FrancescoAlva13,2020-09-12 00:48:10,RT @DonIzquierdo_: ESMAD reprime marcha pacífica en el Centro de Bogotá. Siguen silenciando a quienes protestan por el respeto a la vida. h…,[]
89,claudia maria,@claudia04213250,2020-09-12 00:48:08,"RT @NoticiasRCN: En suba rincón, #Bogotá, la comunidad se volcó al rededor del CAI de policía, pero esta vez para limpiar los destrozos que…","[{'text': 'Bogotá', 'indices': [33, 40]}]"
90,ginna paola sanchez,@Dd3Ginna,2020-09-12 00:48:08,"RT @IvanCepedaCast: Llaman la atención los patrones bajo los que actúo la policía en toda la ciudad de Bogotá, lo que hace pensar que obrar…",[]
91,HERNAN DARIO PEREZ O,@HernanDPerez,2020-09-12 00:48:08,"RT @julianquintanat: Un desastre el manejo de @ClaudiaLopez en esta crisis, en Bogota no hay ley ni orden.",[]
92,JÉVV,@vipcom3,2020-09-12 00:48:08,RT @CGurisattiNTN24: PRIMICIA! en @LaNocheNTN24 Policías víctimas de los violentos ataques criminales en Bogotá narran los momentos de angu…,[]
93,Oscar Echavarria,@osivec,2020-09-12 00:48:06,"RT @NoticiasRCN: En suba rincón, #Bogotá, la comunidad se volcó al rededor del CAI de policía, pero esta vez para limpiar los destrozos que…","[{'text': 'Bogotá', 'indices': [33, 40]}]"
94,S.O.S Colombia🥑,@CartagenaSOS,2020-09-12 00:48:06,"RT @petrogustavo: 14 asesinatos en Bogotá Y Soacha por la policía.

NI respuesta al vandalismo ni al ELN, esto solo se llama crimen de Esta…",[]
95,M a r í a,@laagradecida,2020-09-12 00:48:06,RT @LauraMedinaRuiz: Dice @ClaudiaLopez que la Policía no le hace caso. Entonces  está aceptando que le quedó grande ser alcaldesa de Bogot…,[]
96,Kike Gutiérrez 🥑,@Alvaro93878337,2020-09-12 00:48:06,"RT @DanielBejarano_: Bloque Capital y policía autoras de la masacre en Bogotá?
https://t.co/1feZPs3Khz",[]
97,Marcha Orgullo Gay,@M_O_G_,2020-09-12 00:48:05,"RT @IvanCepedaCast: Llaman la atención los patrones bajo los que actúo la policía en toda la ciudad de Bogotá, lo que hace pensar que obrar…",[]
98,YUDY CAROLINA BELTRAN,@YUDY69BELTRAN,2020-09-12 00:48:05,@alex_reina @BogotaParticipa @dcRadioBogota @ClaudiaLopez @Bogota @GobiernoBTA su franqueza sus gritos sele fueron… https://t.co/fOIrgIb23d,[]
